"Question","LIKE","id","HotLine","RAM","Screen","CPU","HardDisk","CD","Cache","Color","Channel","Warranty","Software","Guarantee","Price"
1,6,1,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,5,2,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,10,3,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,10,4,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,5,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,3,6,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,7,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,8,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,9,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,5,10,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,11,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,12,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,13,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,14,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,15,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,16,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,17,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,18,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,19,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,20,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,4,21,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,2,22,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,23,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,2,24,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,3,25,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,26,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,27,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,28,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,10,29,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,30,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,31,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,2,32,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,4,33,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,3,34,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,35,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,36,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,1,37,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,0,38,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,39,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,4,40,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,2,41,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,10,42,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,43,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,44,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,45,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,46,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,47,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,48,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,49,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,50,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,6,51,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,52,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,4,53,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,54,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,0,55,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,4,56,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,57,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,9,58,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,5,59,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,5,60,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,3,61,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,3,62,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,63,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,64,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,5,65,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,66,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,67,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,8,68,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
1,7,69,"yes","8MB","17in","100MHz","340MB","no","256MB","beige","mail-order","3yr","bundled","30days","$2000"
