"","Ind","Trial","Alt","Brand","Type","Price","Chosen"
"1",2401,1,1,"Dove","Milk",0.6,1
"2",2401,1,2,"Godiva","Dark",0.7,0
"3",2401,1,3,"Dove","White",3.6,0
"4",2401,2,1,"Godiva","Milk w Nuts",2.7,0
"5",2401,2,2,"Godiva","Dark",3.9,1
"6",2401,2,3,"Hersheys","Milk w Nuts",0.7,0
"7",2401,3,1,"Hersheys","Dark w Nuts",1.7,0
"8",2401,3,2,"Godiva","Dark",3.7,1
"9",2401,3,3,"Hersheys","Dark",3,0
"10",2401,4,1,"Lindt","Milk",1,1
"11",2401,4,2,"Lindt","Milk w Nuts",3.6,0
"12",2401,4,3,"Ghirardelli","Dark w Nuts",0.5,0
"13",2401,5,1,"Hersheys","Milk w Nuts",0.8,0
"14",2401,5,2,"Godiva","Dark",1.5,1
"15",2401,5,3,"Hersheys","White",3.3,0
"16",2401,6,1,"Lindt","Milk",3.1,0
"17",2401,6,2,"Dove","White",2.5,0
"18",2401,6,3,"Godiva","Dark",2.6,1
"19",2401,7,1,"Godiva","White",3.1,0
"20",2401,7,2,"Dove","Dark w Nuts",4,0
"21",2401,7,3,"Godiva","Milk",2.1,1
"22",2401,8,1,"Hersheys","Dark w Nuts",0.8,0
"23",2401,8,2,"Godiva","White",3.2,0
"24",2401,8,3,"Godiva","Dark",1.1,1
"25",2401,9,1,"Lindt","Dark",2.3,0
"26",2401,9,2,"Godiva","Dark",1.7,1
"27",2401,9,3,"Godiva","White",3.8,0
"28",2401,10,1,"Lindt","Milk w Nuts",0.6,0
"29",2401,10,2,"Godiva","Milk w Nuts",0.8,1
"30",2401,10,3,"Hersheys","Dark",3.7,0
"31",2401,11,1,"Godiva","Milk",1.6,1
"32",2401,11,2,"Dove","White",0.7,0
"33",2401,11,3,"Hersheys","Dark w Nuts",1.2,0
"34",2401,12,1,"Godiva","Dark w Nuts",1.1,0
"35",2401,12,2,"Dove","Dark w Nuts",0.8,0
"36",2401,12,3,"Lindt","Dark",3.7,1
"37",2401,13,1,"Dove","Milk",3,1
"38",2401,13,2,"Lindt","White",0.8,0
"39",2401,13,3,"Godiva","White",1.9,0
"40",2401,14,1,"Lindt","Dark w Nuts",0.6,0
"41",2401,14,2,"Dove","Milk",3.5,1
"42",2401,14,3,"Dove","Milk w Nuts",1.9,0
"43",2401,15,1,"Godiva","Dark",3.7,1
"44",2401,15,2,"Ghirardelli","Dark",1.5,0
"45",2401,15,3,"Dove","Dark",1.6,0
"46",2401,16,1,"Hersheys","Milk w Nuts",0.5,0
"47",2401,16,2,"Dove","Milk",3.8,1
"48",2401,16,3,"Dove","Dark w Nuts",3.7,0
"49",2401,17,1,"Dove","Milk",3.9,1
"50",2401,17,2,"Dove","Milk w Nuts",1.2,0
"51",2401,17,3,"Lindt","Milk w Nuts",0.5,0
"52",2401,18,1,"Godiva","Milk w Nuts",2.8,1
"53",2401,18,2,"Lindt","Milk",2.7,0
"54",2401,18,3,"Godiva","White",2.6,0
"55",2401,19,1,"Hersheys","Milk",3.7,1
"56",2401,19,2,"Dove","Dark w Nuts",4,0
"57",2401,19,3,"Dove","Dark",2.8,0
"58",2401,20,1,"Dove","Dark",0.7,0
"59",2401,20,2,"Godiva","White",0.8,0
"60",2401,20,3,"Hersheys","Dark",1.9,1
"61",2401,21,1,"Ghirardelli","Milk w Nuts",0.8,0
"62",2401,21,2,"Hersheys","Milk",3,1
"63",2401,21,3,"Godiva","Milk w Nuts",2.4,0
"64",2401,22,1,"Godiva","Dark",0.9,1
"65",2401,22,2,"Dove","Milk w Nuts",3.4,0
"66",2401,22,3,"Hersheys","Dark w Nuts",3.4,0
"67",2401,23,1,"Godiva","Dark w Nuts",0.6,1
"68",2401,23,2,"Dove","White",1.8,0
"69",2401,23,3,"Dove","Dark",3.4,0
"70",2401,24,1,"Hersheys","Dark w Nuts",3.6,0
"71",2401,24,2,"Godiva","Milk w Nuts",3.2,1
"72",2401,24,3,"Ghirardelli","Milk w Nuts",1.4,0
"73",2401,25,1,"Lindt","White",1.1,0
"74",2401,25,2,"Ghirardelli","White",0.8,0
"75",2401,25,3,"Lindt","Milk",2,1
"76",2402,1,1,"Hersheys","Milk",2.2,0
"77",2402,1,2,"Godiva","Dark w Nuts",2.1,1
"78",2402,1,3,"Dove","Milk",3.5,0
"79",2402,2,1,"Ghirardelli","Milk w Nuts",1.3,0
"80",2402,2,2,"Hersheys","White",1.7,0
"81",2402,2,3,"Hersheys","Milk",3.5,1
"82",2402,3,1,"Ghirardelli","Milk w Nuts",1.6,0
"83",2402,3,2,"Dove","Milk w Nuts",2,0
"84",2402,3,3,"Lindt","Dark w Nuts",1.8,1
"85",2402,4,1,"Lindt","Milk w Nuts",3.2,0
"86",2402,4,2,"Dove","Dark w Nuts",2.5,1
"87",2402,4,3,"Lindt","Milk",0.8,0
"88",2402,5,1,"Godiva","Dark w Nuts",1.3,1
"89",2402,5,2,"Godiva","Milk",1.1,0
"90",2402,5,3,"Hersheys","Milk w Nuts",2.7,0
"91",2402,6,1,"Lindt","Dark",0.7,1
"92",2402,6,2,"Hersheys","White",0.6,0
"93",2402,6,3,"Lindt","Milk w Nuts",3.3,0
"94",2402,7,1,"Lindt","Dark",0.9,1
"95",2402,7,2,"Lindt","White",2.9,0
"96",2402,7,3,"Ghirardelli","Milk",0.8,0
"97",2402,8,1,"Lindt","Milk w Nuts",2,0
"98",2402,8,2,"Ghirardelli","Dark w Nuts",1.3,1
"99",2402,8,3,"Lindt","Dark w Nuts",1.2,0
"100",2402,9,1,"Lindt","Dark w Nuts",3.4,1
"101",2402,9,2,"Dove","Dark",1.8,0
"102",2402,9,3,"Dove","Dark w Nuts",3.1,0
"103",2402,10,1,"Lindt","Dark",1.1,1
"104",2402,10,2,"Hersheys","White",1.6,0
"105",2402,10,3,"Hersheys","Milk w Nuts",3.8,0
"106",2402,11,1,"Hersheys","Dark w Nuts",2.1,0
"107",2402,11,2,"Dove","Dark",2.9,1
"108",2402,11,3,"Godiva","White",1.4,0
"109",2402,12,1,"Hersheys","White",1,0
"110",2402,12,2,"Hersheys","Milk w Nuts",0.6,0
"111",2402,12,3,"Dove","Milk w Nuts",2.8,1
"112",2402,13,1,"Ghirardelli","White",0.9,0
"113",2402,13,2,"Dove","Dark",2.5,1
"114",2402,13,3,"Hersheys","White",1.9,0
"115",2402,14,1,"Hersheys","Milk",1.8,0
"116",2402,14,2,"Godiva","Dark",3.4,1
"117",2402,14,3,"Godiva","Dark w Nuts",3.2,0
"118",2402,15,1,"Godiva","Milk",0.7,1
"119",2402,15,2,"Hersheys","White",0.6,0
"120",2402,15,3,"Hersheys","Dark w Nuts",2.9,0
"121",2402,16,1,"Hersheys","Milk w Nuts",2.3,0
"122",2402,16,2,"Ghirardelli","Milk w Nuts",0.6,1
"123",2402,16,3,"Hersheys","White",0.8,0
"124",2402,17,1,"Dove","Dark",4,1
"125",2402,17,2,"Ghirardelli","Milk",2.7,0
"126",2402,17,3,"Dove","White",1.3,0
"127",2402,18,1,"Dove","Milk w Nuts",2.1,0
"128",2402,18,2,"Ghirardelli","White",1.1,0
"129",2402,18,3,"Ghirardelli","Milk",2.5,1
"130",2402,19,1,"Hersheys","Dark w Nuts",1.2,0
"131",2402,19,2,"Dove","Milk",2.9,1
"132",2402,19,3,"Ghirardelli","White",1.5,0
"133",2402,20,1,"Godiva","Milk w Nuts",1.8,0
"134",2402,20,2,"Hersheys","Dark",3.2,0
"135",2402,20,3,"Lindt","Dark",0.9,1
"136",2402,21,1,"Ghirardelli","White",1.5,0
"137",2402,21,2,"Godiva","Milk w Nuts",2.1,0
"138",2402,21,3,"Lindt","Dark",0.6,1
"139",2402,22,1,"Godiva","Dark w Nuts",2.8,1
"140",2402,22,2,"Godiva","Milk w Nuts",3.7,0
"141",2402,22,3,"Ghirardelli","White",2.2,0
"142",2402,23,1,"Godiva","Milk w Nuts",3.2,1
"143",2402,23,2,"Hersheys","Dark w Nuts",4,0
"144",2402,23,3,"Ghirardelli","White",2.4,0
"145",2402,24,1,"Godiva","White",0.9,0
"146",2402,24,2,"Godiva","Dark w Nuts",3.8,1
"147",2402,24,3,"Ghirardelli","Milk w Nuts",1.8,0
"148",2402,25,1,"Godiva","Milk w Nuts",2.3,1
"149",2402,25,2,"Lindt","Milk w Nuts",1.3,0
"150",2402,25,3,"Dove","Milk",2.5,0
"151",2403,1,1,"Dove","White",1.4,0
"152",2403,1,2,"Dove","Milk",1,1
"153",2403,1,3,"Lindt","Milk w Nuts",2,0
"154",2403,2,1,"Godiva","Milk",3.5,0
"155",2403,2,2,"Ghirardelli","Milk",2.2,1
"156",2403,2,3,"Godiva","Dark",2.2,0
"157",2403,3,1,"Ghirardelli","Dark w Nuts",3.9,0
"158",2403,3,2,"Hersheys","Milk",1.2,1
"159",2403,3,3,"Godiva","Dark w Nuts",2.2,0
"160",2403,4,1,"Godiva","Milk",1.3,1
"161",2403,4,2,"Lindt","Dark w Nuts",0.7,0
"162",2403,4,3,"Hersheys","Dark",3.3,0
"163",2403,5,1,"Godiva","Dark",2.8,0
"164",2403,5,2,"Dove","Dark w Nuts",1,1
"165",2403,5,3,"Ghirardelli","Milk",3.5,0
"166",2403,6,1,"Lindt","Milk w Nuts",1.3,0
"167",2403,6,2,"Godiva","White",2.5,0
"168",2403,6,3,"Dove","White",0.8,1
"169",2403,7,1,"Dove","Dark",1.4,1
"170",2403,7,2,"Lindt","Dark",2.1,0
"171",2403,7,3,"Godiva","Dark",3.1,0
"172",2403,8,1,"Dove","White",2.9,0
"173",2403,8,2,"Lindt","Dark",3,0
"174",2403,8,3,"Godiva","Milk w Nuts",2.2,1
"175",2403,9,1,"Godiva","Dark w Nuts",1.2,1
"176",2403,9,2,"Lindt","Dark w Nuts",2.5,0
"177",2403,9,3,"Dove","Milk w Nuts",1.4,0
"178",2403,10,1,"Dove","Dark w Nuts",2.5,0
"179",2403,10,2,"Godiva","Dark w Nuts",0.9,1
"180",2403,10,3,"Lindt","Dark w Nuts",3.2,0
"181",2403,11,1,"Godiva","Milk w Nuts",3.7,0
"182",2403,11,2,"Godiva","Dark",1.4,0
"183",2403,11,3,"Dove","Milk",1.7,1
"184",2403,12,1,"Ghirardelli","White",3.7,0
"185",2403,12,2,"Ghirardelli","Milk",3.3,1
"186",2403,12,3,"Dove","Dark",2.3,0
"187",2403,13,1,"Dove","Dark",1,1
"188",2403,13,2,"Lindt","Dark",3.8,0
"189",2403,13,3,"Ghirardelli","Dark w Nuts",3.5,0
"190",2403,14,1,"Lindt","Milk w Nuts",2.8,0
"191",2403,14,2,"Hersheys","Dark w Nuts",2.8,0
"192",2403,14,3,"Hersheys","Milk",2.6,1
"193",2403,15,1,"Ghirardelli","Milk w Nuts",3,0
"194",2403,15,2,"Dove","Dark",2.7,1
"195",2403,15,3,"Ghirardelli","Dark",3,0
"196",2403,16,1,"Dove","Milk",3,0
"197",2403,16,2,"Dove","White",2.5,1
"198",2403,16,3,"Godiva","Milk",3.9,0
"199",2403,17,1,"Lindt","Dark",0.5,1
"200",2403,17,2,"Ghirardelli","White",0.6,0
"201",2403,17,3,"Godiva","Dark",3.4,0
"202",2403,18,1,"Dove","Milk w Nuts",2.2,1
"203",2403,18,2,"Dove","Dark",3.6,0
"204",2403,18,3,"Hersheys","White",3.8,0
"205",2403,19,1,"Dove","Dark w Nuts",2.2,1
"206",2403,19,2,"Hersheys","Milk w Nuts",4,0
"207",2403,19,3,"Ghirardelli","Dark",2.9,0
"208",2403,20,1,"Godiva","Milk",3.2,0
"209",2403,20,2,"Lindt","Dark",0.6,1
"210",2403,20,3,"Hersheys","Dark w Nuts",2,0
"211",2403,21,1,"Ghirardelli","White",3.4,0
"212",2403,21,2,"Lindt","Dark",2.5,0
"213",2403,21,3,"Godiva","White",2.5,1
"214",2403,22,1,"Godiva","Dark w Nuts",3,0
"215",2403,22,2,"Lindt","Dark",1.1,1
"216",2403,22,3,"Dove","Milk",3.8,0
"217",2403,23,1,"Hersheys","Milk",0.7,1
"218",2403,23,2,"Hersheys","White",2.2,0
"219",2403,23,3,"Dove","Milk w Nuts",2.7,0
"220",2403,24,1,"Dove","Dark w Nuts",1.4,1
"221",2403,24,2,"Ghirardelli","Milk",3.3,0
"222",2403,24,3,"Godiva","Milk",2.2,0
"223",2403,25,1,"Hersheys","Milk w Nuts",2.3,0
"224",2403,25,2,"Godiva","Milk w Nuts",1.7,1
"225",2403,25,3,"Ghirardelli","Milk w Nuts",2.7,0
"226",2405,1,1,"Lindt","Dark w Nuts",3.9,0
"227",2405,1,2,"Ghirardelli","Dark w Nuts",2.6,1
"228",2405,1,3,"Godiva","Dark w Nuts",2.7,0
"229",2405,2,1,"Lindt","Milk w Nuts",0.9,0
"230",2405,2,2,"Hersheys","Dark w Nuts",3.3,0
"231",2405,2,3,"Hersheys","Milk w Nuts",4,1
"232",2405,3,1,"Hersheys","Milk",3.6,0
"233",2405,3,2,"Dove","Milk",1.6,0
"234",2405,3,3,"Ghirardelli","Milk w Nuts",1.7,1
"235",2405,4,1,"Godiva","Milk w Nuts",1.4,1
"236",2405,4,2,"Ghirardelli","White",2.4,0
"237",2405,4,3,"Godiva","White",3.8,0
"238",2405,5,1,"Dove","Milk w Nuts",3,1
"239",2405,5,2,"Godiva","Dark w Nuts",2.9,0
"240",2405,5,3,"Dove","Dark",1.6,0
"241",2405,6,1,"Lindt","White",2.5,0
"242",2405,6,2,"Ghirardelli","White",2.6,0
"243",2405,6,3,"Lindt","Dark w Nuts",3.9,1
"244",2405,7,1,"Ghirardelli","Dark w Nuts",0.7,1
"245",2405,7,2,"Godiva","White",2.9,0
"246",2405,7,3,"Dove","Milk",0.7,0
"247",2405,8,1,"Hersheys","Milk w Nuts",0.6,1
"248",2405,8,2,"Ghirardelli","Dark w Nuts",3.3,0
"249",2405,8,3,"Godiva","White",1.1,0
"250",2405,9,1,"Hersheys","Milk w Nuts",2.7,1
"251",2405,9,2,"Ghirardelli","Dark w Nuts",2.3,0
"252",2405,9,3,"Godiva","Dark",2.6,0
"253",2405,10,1,"Lindt","Dark",2.5,0
"254",2405,10,2,"Godiva","Dark",1.5,0
"255",2405,10,3,"Ghirardelli","Dark w Nuts",1.4,1
"256",2405,11,1,"Ghirardelli","White",1.5,0
"257",2405,11,2,"Dove","Dark w Nuts",2,0
"258",2405,11,3,"Ghirardelli","Dark",2.5,1
"259",2405,12,1,"Ghirardelli","Milk",1.7,1
"260",2405,12,2,"Lindt","Dark",2.5,0
"261",2405,12,3,"Dove","Milk",0.6,0
"262",2405,13,1,"Dove","Milk",3.3,0
"263",2405,13,2,"Hersheys","Dark",2.8,0
"264",2405,13,3,"Ghirardelli","Milk",1.8,1
"265",2405,14,1,"Lindt","Dark",3.5,0
"266",2405,14,2,"Ghirardelli","White",1.3,0
"267",2405,14,3,"Hersheys","Milk w Nuts",0.9,1
"268",2405,15,1,"Hersheys","Dark",2.6,0
"269",2405,15,2,"Godiva","Dark",3.9,1
"270",2405,15,3,"Hersheys","White",2.9,0
"271",2405,16,1,"Ghirardelli","Milk w Nuts",1.1,1
"272",2405,16,2,"Ghirardelli","Dark",1.9,0
"273",2405,16,3,"Godiva","Milk w Nuts",2.1,0
"274",2405,17,1,"Ghirardelli","White",2.9,0
"275",2405,17,2,"Godiva","Milk",2.4,1
"276",2405,17,3,"Hersheys","Milk w Nuts",3.9,0
"277",2405,18,1,"Godiva","White",3.4,0
"278",2405,18,2,"Ghirardelli","Dark",3.9,1
"279",2405,18,3,"Hersheys","White",1.9,0
"280",2405,19,1,"Hersheys","Milk w Nuts",2.9,1
"281",2405,19,2,"Dove","Dark",3.4,0
"282",2405,19,3,"Hersheys","Milk",1.3,0
"283",2405,20,1,"Lindt","Dark w Nuts",3.5,0
"284",2405,20,2,"Dove","Milk",3.4,1
"285",2405,20,3,"Lindt","Dark",0.7,0
"286",2405,21,1,"Hersheys","Milk",3,0
"287",2405,21,2,"Hersheys","Dark",1.8,0
"288",2405,21,3,"Ghirardelli","Milk",3.5,1
"289",2405,22,1,"Godiva","Dark w Nuts",1.6,1
"290",2405,22,2,"Dove","Dark w Nuts",1.8,0
"291",2405,22,3,"Lindt","Dark w Nuts",3.6,0
"292",2405,23,1,"Godiva","White",1.5,0
"293",2405,23,2,"Hersheys","White",1.3,0
"294",2405,23,3,"Godiva","Milk w Nuts",0.6,1
"295",2405,24,1,"Ghirardelli","Dark",2.5,1
"296",2405,24,2,"Ghirardelli","Dark w Nuts",0.8,0
"297",2405,24,3,"Lindt","White",2.1,0
"298",2405,25,1,"Lindt","White",3.6,0
"299",2405,25,2,"Hersheys","White",2.5,0
"300",2405,25,3,"Ghirardelli","Dark w Nuts",2,1
"301",2407,1,1,"Ghirardelli","Dark",3,0
"302",2407,1,2,"Lindt","White",2.5,0
"303",2407,1,3,"Hersheys","Dark w Nuts",2.4,1
"304",2407,2,1,"Ghirardelli","Milk",2,1
"305",2407,2,2,"Lindt","White",2.9,0
"306",2407,2,3,"Godiva","White",1.9,0
"307",2407,3,1,"Lindt","Milk",2.3,0
"308",2407,3,2,"Hersheys","Dark",0.6,1
"309",2407,3,3,"Godiva","White",0.9,0
"310",2407,4,1,"Hersheys","White",1.3,0
"311",2407,4,2,"Dove","Dark",1.3,0
"312",2407,4,3,"Lindt","Dark w Nuts",3,1
"313",2407,5,1,"Dove","Milk",3.7,0
"314",2407,5,2,"Hersheys","Milk w Nuts",3.6,1
"315",2407,5,3,"Lindt","White",3.6,0
"316",2407,6,1,"Lindt","White",4,0
"317",2407,6,2,"Dove","White",2.5,0
"318",2407,6,3,"Lindt","Milk w Nuts",0.8,1
"319",2407,7,1,"Godiva","Milk",2.5,0
"320",2407,7,2,"Dove","Dark w Nuts",2.4,1
"321",2407,7,3,"Dove","White",2.3,0
"322",2407,8,1,"Hersheys","Dark w Nuts",2.4,1
"323",2407,8,2,"Hersheys","White",1.8,0
"324",2407,8,3,"Godiva","Milk",3.7,0
"325",2407,9,1,"Dove","Milk",3.9,0
"326",2407,9,2,"Dove","Dark",1.9,0
"327",2407,9,3,"Ghirardelli","Milk w Nuts",1.8,1
"328",2407,10,1,"Lindt","Milk",3.7,0
"329",2407,10,2,"Dove","Milk",1.1,0
"330",2407,10,3,"Hersheys","Milk",1,1
"331",2407,11,1,"Godiva","Dark",3.3,0
"332",2407,11,2,"Hersheys","Dark",3.3,0
"333",2407,11,3,"Ghirardelli","Dark w Nuts",0.6,1
"334",2407,12,1,"Godiva","Milk",1.6,0
"335",2407,12,2,"Ghirardelli","Dark w Nuts",1.1,1
"336",2407,12,3,"Lindt","Milk",1.3,0
"337",2407,13,1,"Lindt","Dark",2,1
"338",2407,13,2,"Ghirardelli","White",3.5,0
"339",2407,13,3,"Lindt","Milk w Nuts",3.7,0
"340",2407,14,1,"Lindt","Milk w Nuts",1.9,0
"341",2407,14,2,"Godiva","Dark",3,0
"342",2407,14,3,"Hersheys","Dark",0.6,1
"343",2407,15,1,"Dove","Milk w Nuts",3,0
"344",2407,15,2,"Ghirardelli","Dark w Nuts",1.2,0
"345",2407,15,3,"Godiva","White",1.1,1
"346",2407,16,1,"Lindt","Milk w Nuts",3.3,0
"347",2407,16,2,"Ghirardelli","Dark w Nuts",1.6,1
"348",2407,16,3,"Dove","Dark w Nuts",1.4,0
"349",2407,17,1,"Lindt","Dark w Nuts",3.3,0
"350",2407,17,2,"Lindt","Milk",2.8,0
"351",2407,17,3,"Godiva","Milk",0.9,1
"352",2407,18,1,"Lindt","Dark",0.8,1
"353",2407,18,2,"Hersheys","Milk",3.5,0
"354",2407,18,3,"Hersheys","Dark w Nuts",2,0
"355",2407,19,1,"Godiva","Dark",3.3,0
"356",2407,19,2,"Dove","Milk w Nuts",3.1,0
"357",2407,19,3,"Ghirardelli","Dark w Nuts",2.9,1
"358",2407,20,1,"Lindt","Dark w Nuts",1.2,0
"359",2407,20,2,"Lindt","White",1.5,0
"360",2407,20,3,"Dove","Dark",0.9,1
"361",2407,21,1,"Hersheys","White",2.2,1
"362",2407,21,2,"Lindt","Dark w Nuts",3.3,0
"363",2407,21,3,"Hersheys","Milk",1.9,0
"364",2407,22,1,"Dove","Milk",3.4,0
"365",2407,22,2,"Ghirardelli","Dark",3.3,1
"366",2407,22,3,"Hersheys","Dark",3.8,0
"367",2407,23,1,"Ghirardelli","Milk w Nuts",1.5,1
"368",2407,23,2,"Hersheys","Dark",2.8,0
"369",2407,23,3,"Hersheys","Milk w Nuts",2.5,0
"370",2407,24,1,"Godiva","White",0.5,1
"371",2407,24,2,"Ghirardelli","Dark w Nuts",1.1,0
"372",2407,24,3,"Ghirardelli","Dark",1.4,0
"373",2407,25,1,"Godiva","Milk",0.9,0
"374",2407,25,2,"Lindt","Dark",2.2,0
"375",2407,25,3,"Ghirardelli","Dark w Nuts",1,1
"376",2408,1,1,"Ghirardelli","White",3.8,1
"377",2408,1,2,"Dove","White",2,0
"378",2408,1,3,"Dove","Dark w Nuts",2.2,0
"379",2408,2,1,"Ghirardelli","Milk w Nuts",0.8,0
"380",2408,2,2,"Godiva","Milk w Nuts",2.7,0
"381",2408,2,3,"Dove","Milk",0.9,1
"382",2408,3,1,"Dove","Milk w Nuts",2.6,0
"383",2408,3,2,"Hersheys","Milk",1.5,1
"384",2408,3,3,"Lindt","White",3.4,0
"385",2408,4,1,"Ghirardelli","Dark",2.9,1
"386",2408,4,2,"Lindt","Milk w Nuts",0.5,0
"387",2408,4,3,"Godiva","Milk w Nuts",1.5,0
"388",2408,5,1,"Dove","Milk",3.9,0
"389",2408,5,2,"Ghirardelli","Dark w Nuts",1.5,0
"390",2408,5,3,"Godiva","Milk",1.1,1
"391",2408,6,1,"Godiva","Milk w Nuts",1.5,0
"392",2408,6,2,"Ghirardelli","Milk",1.4,1
"393",2408,6,3,"Hersheys","White",2.5,0
"394",2408,7,1,"Godiva","Milk w Nuts",2.6,1
"395",2408,7,2,"Hersheys","White",3.4,0
"396",2408,7,3,"Ghirardelli","Dark w Nuts",1.4,0
"397",2408,8,1,"Godiva","White",0.8,0
"398",2408,8,2,"Ghirardelli","Milk w Nuts",1.1,0
"399",2408,8,3,"Godiva","Dark",0.5,1
"400",2408,9,1,"Hersheys","Dark w Nuts",0.6,0
"401",2408,9,2,"Godiva","Milk",2.2,1
"402",2408,9,3,"Dove","Dark w Nuts",1.1,0
"403",2408,10,1,"Ghirardelli","Dark w Nuts",3.2,0
"404",2408,10,2,"Godiva","Milk",2.4,1
"405",2408,10,3,"Dove","White",2.9,0
"406",2408,11,1,"Godiva","Dark",4,0
"407",2408,11,2,"Hersheys","Milk w Nuts",3.5,0
"408",2408,11,3,"Dove","Dark",2.5,1
"409",2408,12,1,"Lindt","Milk w Nuts",2,0
"410",2408,12,2,"Godiva","Milk",3,1
"411",2408,12,3,"Lindt","Dark w Nuts",1,0
"412",2408,13,1,"Lindt","Milk w Nuts",3.2,1
"413",2408,13,2,"Lindt","Dark w Nuts",1.1,0
"414",2408,13,3,"Godiva","Milk w Nuts",1,0
"415",2408,14,1,"Godiva","Milk",1.3,1
"416",2408,14,2,"Godiva","Milk w Nuts",2,0
"417",2408,14,3,"Dove","Dark w Nuts",1.3,0
"418",2408,15,1,"Hersheys","White",3.1,0
"419",2408,15,2,"Ghirardelli","Milk w Nuts",3.7,0
"420",2408,15,3,"Lindt","Milk",3.6,1
"421",2408,16,1,"Lindt","Dark w Nuts",1,0
"422",2408,16,2,"Hersheys","White",4,0
"423",2408,16,3,"Lindt","Dark",0.5,1
"424",2408,17,1,"Godiva","White",2.5,0
"425",2408,17,2,"Dove","Dark",3.5,0
"426",2408,17,3,"Ghirardelli","Milk",2.3,1
"427",2408,18,1,"Godiva","White",1,1
"428",2408,18,2,"Lindt","Dark w Nuts",3.3,0
"429",2408,18,3,"Ghirardelli","Dark w Nuts",2.4,0
"430",2408,19,1,"Ghirardelli","Milk w Nuts",0.8,1
"431",2408,19,2,"Hersheys","Dark w Nuts",1.6,0
"432",2408,19,3,"Godiva","Dark w Nuts",1.1,0
"433",2408,20,1,"Dove","Milk w Nuts",3.2,0
"434",2408,20,2,"Lindt","Dark w Nuts",2.2,0
"435",2408,20,3,"Hersheys","Dark",3,1
"436",2408,21,1,"Dove","Dark w Nuts",1.3,0
"437",2408,21,2,"Godiva","Dark",1.7,1
"438",2408,21,3,"Dove","White",2.4,0
"439",2408,22,1,"Dove","Milk",3.5,1
"440",2408,22,2,"Ghirardelli","Milk",2.3,0
"441",2408,22,3,"Ghirardelli","Dark w Nuts",3.5,0
"442",2408,23,1,"Godiva","White",0.9,0
"443",2408,23,2,"Dove","Dark",3,0
"444",2408,23,3,"Ghirardelli","Dark",0.6,1
"445",2408,24,1,"Lindt","Dark",1.2,0
"446",2408,24,2,"Godiva","Milk",1.1,1
"447",2408,24,3,"Dove","Dark w Nuts",1.4,0
"448",2408,25,1,"Lindt","Milk w Nuts",3.8,0
"449",2408,25,2,"Godiva","Milk w Nuts",0.9,0
"450",2408,25,3,"Ghirardelli","White",0.7,1
"451",2409,1,1,"Dove","Milk",0.6,0
"452",2409,1,2,"Godiva","Dark",0.7,1
"453",2409,1,3,"Dove","White",3.6,0
